Timestamp,Voltage,Current,Resistance
0.223,0.100,0.000,1503.210
0.445,0.421,0.000,1497.328
0.517,0.744,0.000,1496.407
0.589,1.065,0.001,1496.077
0.660,1.387,0.001,1495.864
0.883,1.710,0.001,1495.686
0.955,2.033,0.001,1495.614
1.026,2.355,0.002,1495.557
1.099,2.678,0.002,1495.505
1.170,3.000,0.002,1495.474
1.471,0.100,0.000,1502.802
1.693,0.421,0.000,1497.291
1.766,0.744,0.000,1496.434
1.837,1.065,0.001,1496.062
1.909,1.387,0.001,1495.849
2.132,1.710,0.001,1495.677
2.203,2.033,0.001,1495.609
2.274,2.355,0.002,1495.550
2.347,2.678,0.002,1495.506
2.418,3.000,0.002,1495.475
2.716,0.100,0.000,1502.804
2.938,0.421,0.000,1497.290
3.010,0.744,0.000,1496.408
3.082,1.065,0.001,1496.057
3.153,1.387,0.001,1495.857
3.376,1.710,0.001,1495.684
3.447,2.033,0.001,1495.607
3.520,2.355,0.002,1495.556
3.591,2.678,0.002,1495.509
3.663,3.000,0.002,1495.472
3.964,0.100,0.000,1502.803
4.187,0.421,0.000,1497.313
4.258,0.744,0.000,1496.423
4.329,1.065,0.001,1496.054
4.401,1.387,0.001,1495.856
4.624,1.710,0.001,1495.681
4.695,2.033,0.001,1495.603
4.768,2.355,0.002,1495.557
4.839,2.678,0.002,1495.519
4.911,3.000,0.002,1495.480
5.211,0.100,0.000,1502.840
5.434,0.421,0.000,1497.313
5.505,0.744,0.000,1496.429
5.576,1.065,0.001,1496.066
5.648,1.387,0.001,1495.862
5.871,1.710,0.001,1495.696
5.942,2.033,0.001,1495.609
6.015,2.355,0.002,1495.550
6.086,2.678,0.002,1495.514
6.157,3.000,0.002,1495.478
6.459,0.100,0.000,1502.857
6.682,0.421,0.000,1497.347
6.753,0.744,0.000,1496.432
6.825,1.065,0.001,1496.067
6.896,1.387,0.001,1495.863
7.119,1.710,0.001,1495.697
7.190,2.033,0.001,1495.617
7.263,2.355,0.002,1495.559
7.334,2.678,0.002,1495.510
7.406,3.000,0.002,1495.475
7.702,0.100,0.000,1503.082
7.926,0.421,0.000,1497.380
7.997,0.744,0.000,1496.435
8.068,1.065,0.001,1496.055
8.141,1.387,0.001,1495.875
8.363,1.710,0.001,1495.694
8.435,2.033,0.001,1495.611
8.507,2.355,0.002,1495.559
8.578,2.678,0.002,1495.506
8.649,3.000,0.002,1495.475
8.953,0.100,0.000,1503.008
9.177,0.421,0.000,1497.317
9.248,0.744,0.000,1496.429
9.319,1.065,0.001,1496.067
9.392,1.387,0.001,1495.861
9.614,1.710,0.001,1495.689
9.686,2.033,0.001,1495.608
9.758,2.355,0.002,1495.547
9.829,2.678,0.002,1495.510
9.901,3.000,0.002,1495.474
10.199,0.100,0.000,1502.871
10.422,0.421,0.000,1497.310
10.493,0.744,0.000,1496.446
10.565,1.065,0.001,1496.060
10.637,1.387,0.001,1495.862
10.859,1.710,0.001,1495.689
10.932,2.033,0.001,1495.603
11.003,2.355,0.002,1495.551
11.074,2.678,0.002,1495.509
11.146,3.000,0.002,1495.476
11.446,0.100,0.000,1502.904
11.669,0.421,0.000,1497.325
11.740,0.744,0.000,1496.421
11.812,1.065,0.001,1496.049
11.884,1.387,0.001,1495.852
12.106,1.710,0.001,1495.679
12.178,2.033,0.001,1495.608
12.250,2.355,0.002,1495.550
12.321,2.678,0.002,1495.513
12.394,3.000,0.002,1495.477
12.696,0.100,0.000,1503.021
12.919,0.421,0.000,1497.318
12.990,0.744,0.000,1496.434
13.062,1.065,0.001,1496.066
13.134,1.387,0.001,1495.859
13.356,1.710,0.001,1495.690
13.429,2.033,0.001,1495.612
13.500,2.355,0.002,1495.554
13.572,2.678,0.002,1495.514
13.644,3.000,0.002,1495.476
13.942,0.100,0.000,1503.073
14.165,0.421,0.000,1497.313
14.236,0.744,0.000,1496.456
14.308,1.065,0.001,1496.062
14.380,1.387,0.001,1495.860
14.603,1.710,0.001,1495.689
14.674,2.033,0.001,1495.613
14.746,2.355,0.002,1495.552
14.817,2.678,0.002,1495.506
14.890,3.000,0.002,1495.474
15.187,0.100,0.000,1502.787
15.409,0.421,0.000,1497.342
15.480,0.744,0.000,1496.431
15.553,1.065,0.001,1496.066
15.624,1.387,0.001,1495.872
15.847,1.710,0.001,1495.690
15.918,2.033,0.001,1495.613
15.990,2.355,0.002,1495.558
16.062,2.678,0.002,1495.513
16.134,3.000,0.002,1495.476
16.434,0.100,0.000,1503.158
16.656,0.421,0.000,1497.365
16.728,0.744,0.000,1496.448
16.799,1.065,0.001,1496.082
16.871,1.387,0.001,1495.867
17.094,1.710,0.001,1495.692
17.165,2.033,0.001,1495.621
17.237,2.355,0.002,1495.554
17.309,2.678,0.002,1495.512
17.381,3.000,0.002,1495.479
17.676,0.100,0.000,1503.034
17.898,0.421,0.000,1497.336
17.970,0.744,0.000,1496.411
18.042,1.065,0.001,1496.082
18.113,1.387,0.001,1495.861
18.336,1.710,0.001,1495.682
18.408,2.033,0.001,1495.603
18.479,2.355,0.002,1495.553
18.552,2.678,0.002,1495.512
18.623,3.000,0.002,1495.476
18.920,0.100,0.000,1502.973
19.143,0.421,0.000,1497.320
19.214,0.744,0.000,1496.421
19.285,1.065,0.001,1496.079
19.357,1.387,0.001,1495.868
19.580,1.710,0.001,1495.676
19.651,2.033,0.001,1495.612
19.724,2.355,0.002,1495.557
19.795,2.678,0.002,1495.506
19.866,3.000,0.002,1495.478
20.162,0.100,0.000,1502.926
20.385,0.421,0.000,1497.311
20.456,0.744,0.000,1496.457
20.528,1.065,0.001,1496.073
20.600,1.387,0.001,1495.866
20.822,1.710,0.001,1495.679
20.895,2.033,0.001,1495.611
20.966,2.355,0.002,1495.556
21.038,2.678,0.002,1495.511
21.109,3.000,0.002,1495.479
21.407,0.100,0.000,1502.931
21.630,0.421,0.000,1497.328
21.701,0.744,0.000,1496.440
21.773,1.065,0.001,1496.058
21.845,1.387,0.001,1495.867
22.067,1.710,0.001,1495.689
22.140,2.033,0.001,1495.612
22.211,2.355,0.002,1495.550
22.283,2.678,0.002,1495.509
22.354,3.000,0.002,1495.480
22.652,0.100,0.000,1503.048
22.875,0.421,0.000,1497.344
22.946,0.744,0.000,1496.443
23.018,1.065,0.001,1496.082
23.090,1.387,0.001,1495.857
23.312,1.710,0.001,1495.691
23.384,2.033,0.001,1495.619
23.456,2.355,0.002,1495.560
23.527,2.678,0.002,1495.514
23.600,3.000,0.002,1495.478
23.901,0.100,0.000,1502.918
24.124,0.421,0.000,1497.359
24.196,0.744,0.000,1496.446
24.268,1.065,0.001,1496.070
24.340,1.387,0.001,1495.846
24.562,1.710,0.001,1495.676
24.634,2.033,0.001,1495.619
24.705,2.355,0.002,1495.556
24.777,2.678,0.002,1495.510
24.849,3.000,0.002,1495.481
25.147,0.100,0.000,1503.011
25.370,0.421,0.000,1497.352
25.441,0.744,0.000,1496.455
25.514,1.065,0.001,1496.110
25.585,1.387,0.001,1495.861
25.808,1.710,0.001,1495.689
25.879,2.033,0.001,1495.615
25.951,2.355,0.002,1495.557
26.022,2.678,0.002,1495.506
26.095,3.000,0.002,1495.480
26.393,0.100,0.000,1502.968
26.615,0.421,0.000,1497.367
26.687,0.744,0.000,1496.446
26.759,1.065,0.001,1496.060
26.830,1.387,0.001,1495.852
27.053,1.710,0.001,1495.695
27.124,2.033,0.001,1495.624
27.196,2.355,0.002,1495.557
27.268,2.678,0.002,1495.507
27.340,3.000,0.002,1495.475
27.638,0.100,0.000,1503.087
27.860,0.421,0.000,1497.404
27.933,0.744,0.000,1496.427
28.004,1.065,0.001,1496.073
28.076,1.387,0.001,1495.865
28.299,1.710,0.001,1495.687
28.370,2.033,0.001,1495.612
28.441,2.355,0.002,1495.553
28.514,2.678,0.002,1495.514
28.585,3.000,0.002,1495.476
28.884,0.100,0.000,1502.900
29.106,0.421,0.000,1497.317
29.179,0.744,0.000,1496.427
29.250,1.065,0.001,1496.065
29.322,1.387,0.001,1495.857
29.545,1.710,0.001,1495.681
29.616,2.033,0.001,1495.612
29.687,2.355,0.002,1495.554
29.760,2.678,0.002,1495.512
29.831,3.000,0.002,1495.484
30.130,0.100,0.000,1502.952
30.353,0.421,0.000,1497.313
30.424,0.744,0.000,1496.394
30.496,1.065,0.001,1496.061
30.567,1.387,0.001,1495.851
30.790,1.710,0.001,1495.691
30.861,2.033,0.001,1495.612
30.934,2.355,0.002,1495.553
31.005,2.678,0.002,1495.512
31.077,3.000,0.002,1495.474
31.374,0.100,0.000,1503.008
